"Unique Key","Created Date","Closed Date","Agency","Agency Name","Complaint Type","Descriptor","Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type","City","Landmark","Facility Type","Status","Due Date","Resolution Description","Resolution Action Updated Date","Community Board","BBL","Borough","X Coordinate (State Plane)","Y Coordinate (State Plane)","Open Data Channel Type","Park Facility Name","Park Borough","Vehicle Type","Taxi Company Borough","Taxi Pick Up Location","Bridge Highway Name","Bridge Highway Direction","Road Ramp","Bridge Highway Segment","Latitude","Longitude","Location"
"66948172","11/25/2025 07:12:01 AM","11/25/2025 11:46:03 AM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.","11/25/2025 11:46:07 AM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66911511","11/21/2025 10:45:31 AM","12/01/2025 03:36:01 PM","DOT","Department of Transportation","Street Sign - Dangling","Other/Unknown","Street","11101","47-08 AUSTELL PLACE","AUSTELL PLACE","SKILLMAN AVENUE","27 STREET","SKILLMAN AVENUE","27 STREET","ADDRESS","LONG ISLAND CITY","AUSTELL PLACE",,"Closed",,"The Department of Transportation has completed the request or corrected the condition.","12/01/2025 03:36:06 PM","02 QUEENS","4000980009","QUEENS","1,000,343","210,131","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74342301329","-73.94192353619","(40.74342301329043, -73.94192353618988)"
"66910397","11/21/2025 10:29:00 AM","11/21/2025 01:36:00 PM","DEP","Department of Environmental Protection","Sewer","Catch Basin Clogged/Flooding (Use Comments) (SC)",,"11101","47-32 AUSTELL PLACE","AUSTELL PLACE","SKILLMAN AVE","27 ST",,,"ADDRESS","LONG ISLAND CITY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.","11/21/2025 01:36:00 PM","02 QUEENS","4000980030","QUEENS","1,000,388","210,045","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74318688281","-73.94176134645","(40.74318688281359, -73.94176134645025)"
"66904630","11/20/2025 12:55:45 PM","11/21/2025 03:28:33 PM","DSNY","Department of Sanitation","Illegal Dumping","Removal Request","Sidewalk","11101","47-37 AUSTELL PLACE","AUSTELL PLACE","SKILLMAN AVENUE","27 STREET","SKILLMAN AVENUE","27 STREET","ADDRESS","LONG ISLAND CITY","AUSTELL PLACE",,"Closed",,"The Department of Sanitation investigated this complaint and found no condition at the location.","11/21/2025 05:59:46 AM","02 QUEENS","4000970004","QUEENS","1,000,401","210,033","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74315392208","-73.94171446101","(40.74315392208425, -73.94171446100832)"
"66844328","11/15/2025 08:22:27 AM","11/15/2025 11:40:21 AM","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11101","37-20 SKILLMAN AVENUE","SKILLMAN AVENUE","37 STREET","38 STREET","37 STREET","38 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.","11/15/2025 11:40:24 AM","02 QUEENS","4002160024","QUEENS","1,004,454","211,628","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74752346527","-73.92708325696","(40.74752346527291, -73.9270832569572)"
"66831181","11/14/2025 02:16:06 PM","11/14/2025 02:16:06 PM","DOB","Department of Buildings","Building/Use","Illegal Conversion Of Residential Building/Space",,"11101","47-10 AUSTELL PLACE","AUSTELL PLACE",,,,,"ADDRESS","LONG ISLAND CITY",,,"Open",,"Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.","11/14/2025 12:00:00 AM","02 QUEENS","4000980042","QUEENS","1,000,347","210,124","UNKNOWN","Unspecified","QUEENS",,,,,,,,"40.74340379276","-73.94190911774","(40.74340379276295, -73.94190911773529)"
"66784492","11/10/2025 10:57:29 AM","11/17/2025 09:59:23 AM","DOT","Department of Transportation","Curb Condition","Broken Curb","Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.","11/17/2025 09:59:32 AM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66681441","10/31/2025 11:42:31 AM","10/31/2025 01:12:50 PM","DPR","Department of Parks and Recreation","Damaged Tree","Entire Tree Has Fallen Down","Street","11101","34-06 SKILLMAN AVENUE","SKILLMAN AVENUE","34 STREET","35 STREET","34 STREET","35 STREET","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.","10/31/2025 01:12:55 PM","02 QUEENS","4002400001","QUEENS","1,003,617","211,408","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74692149346","-73.93010464319","(40.74692149346308, -73.93010464318756)"
"66626858","10/27/2025 08:18:19 AM","10/27/2025 10:30:35 AM","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11101","24-30 SKILLMAN AVENUE","SKILLMAN AVENUE","49 AVENUE","LIRR PENN CENTRAL LINE","49 AVENUE","LIRR PENN CENTRAL LINE","ADDRESS","LONG ISLAND CITY","SKILLMAN AVENUE",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","10/27/2025 10:30:39 AM","02 QUEENS","4001000001","QUEENS","999,323","209,722","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74230220789","-73.94560543063","(40.74230220789093, -73.9456054306301)"
"66611543","10/25/2025 12:48:44 PM","10/28/2025 02:53:21 PM","DSNY","Department of Sanitation","Illegal Dumping","Removal Request","Sidewalk","11101","SKILLMAN AVENUE","SKILLMAN AVENUE","36 STREET","SKILLMAN AVENUE","36 STREET","SKILLMAN AVENUE","INTERSECTION",,,,"Closed",,"The Department of Sanitation removed the items.","10/27/2025 08:37:45 PM","02 QUEENS",,"QUEENS","1,004,112","211,543","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74729093648","-73.92831779402","(40.74729093648415, -73.92831779401669)"
